Output by mine,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,
Copper concentrate (tonnes) ,"43,387","44,225","36,952","28,710","27,581","12,148","12,743","5,340","7,614",-,,,"1,036","12,657","14,753",,,,,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,
Khusib Springs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper concentrate (tonnes) ,,,,,,,,"21,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skorpion Zinc (tonnes of SHG zinc) ,,,,,,,,,,,,,35,"47,436","119,205","132,813","129,897","150,080","145,396","150,400","151,688","144,755","145,342","124,924"," 102,188 "," 82,029 ","85,427","84,215","65,993","67,295",659,0,0,0,,,,,,,,,,,,,,,,,,,,
Rosh Pinah Zinc Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc concentrate (tonnes) ,"66,291","62,754","68,337","53,995","64,567","59,305","69,689","74,632","78,617","69,193","73,535","70,610","77,587","107,920","123,272","126,123","105,134","94,855","94,236","94,000","101,040","89,236","94,303","113,818"," 104,046 "," 99,665 ","80,560","97,364","107,568","100,409","91,099","83,362","79,666","74,605",,,,,,,,,,,,,,,,,,,,
Lead concentrate (tonnes) ,"23,875","19,470","19,681","16,859","24,639","26,421","28,211","26,288","24,273","19,283","20,665","26,182","24,140","31,453","27,188","24,690","21,974","21,876","20,155","20,000","19,202","15,776","17,557","20,551"," 22,317 "," 18,518 "," 14,862 ","13,915","14,068","13,019","17,594","19,989","26,276","20,259",,,,,,,,,,,,,,,,,,,,
Namib Lead and Zinc Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc concentrate (tonnes) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,267","1,054",0,0,0,,,,,,,,,,,,,,,,,,,,
Lead concentrate (tonnes) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,192,0,0,0,,,,,,,,,,,,,,,,,,,,
Uis Tin Mine (Tonnes of tin concentrate) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7, 473 , 748 , 855 ,"1,468",,,,,,,,,,,,,,,,,,,,
Okorusu Fluorspar (tonnes of fluorspar) ,"25,980","29,246","37,176","42,249","50,645","36,889","32,285","23,208","42,139","57,700","66,128","81,245","81,084","79,349","104,767","114,886","132,249","118,766","118,263","80,857","104,494","90,834","74,157"," 65,348 "," 70,414 ",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Okorusu operated by Gecko Namibia (Tonnes of Iron ore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,079","8,500",0,0,0,0,,,,,,,,,,,,,,,,,,,,
Okorusu operated by Gecko Namibia (Tonnes of railway ballast),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,119","3,000",0,0,0,0,,,,,,,,,,,,,,,,,,,,
